LosNr,LosID,Material_Los_Number,LosID2,Report,S-S curves,Quality,material_number,material_description,measuring_hours,Material,Grade,Condition,Shape,Thickness,Width,Delivery_Date,Supplier Name,E (min),Rm (min),Ultimate Strain (min),Necking (min),Rp (min),E (max),Rm (max),Ultimate Strain (max),Necking (max),Rp (max),E (mean),Rm (mean),Ultimate Strain (mean),Necking (mean),Rp (mean),E (mean)2,Rm (mean)2,Ultimate Strain (mean)2,Necking (mean)2,Rp (mean)2,n,Confidence,SE,SRm,Sultimate Strain,Snecking,SRp,n2,Confidence2,SE2,SRm2,Sultimate Strain2,Snecking2,SRp2,GefRei,Spezif,SMHaZuQ,SMHaDeQ,SMHaEiQ,SMHaRpQ,SMPrZuQ,SMPrDeQ,SMPrEiQ,SMPrRpQ,SMDiZuQ,SMDiDeQ,SMDiEiQ,SMDiRpQ,SAbwZugQ,SAbwDehnQ,SAbwEinQ,SAbwRpQ,ZHotVe,Bilder,ZForged,PMI,PMI_Vis,PMI_Date,ArtVerunreinigung
17081,19779,17081,19779,17081.pdf,,TAV ELI ANR,60010367,0,Round 2.0mm TI6AL4V ELI ANR,TAV,,,Round,2,,41603,Hempel Special Metals AG,101,1057.7,13.8,0,896.1,107,1079.7,15,0,920.6,103,1068.8,14.5,,904.3,,,,,,5,,2,7.8,0.7,0,9.8,,,,,,,,i.O.,SE_209779 Rev.AB ANR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,,FALSE,0,,,i.O.
7293,9105,7293,9105,7293.pdf,,TAV,180,0,0,TAV,,,Round,8,,38621,Früchtl G.H.,,,,,,,,,,,,1019.6,13.3,,810.3,,,,,,5,0.95,,26.1,1.4,0,25.9,,,,,,,,,5.7.0400.029 00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,,FALSE,0,,,
15375,18050,15375,18050,15375.pdf,,TAV ELI ANR,60010362,0,Round 1.0mm TI6AL4V ELI ANR,TAV,,,Round,1,,41025,Hempel Special Metals AG,,1113.18,10,0,900.97,,1120.51,15,0,909.46,,1116.91,12.9,,904.82,,,,,,13,,,2.08,1.7,,2.95,,,,,,,,,SE_209779 Rev.AA ANR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,,FALSE,-1,LOM,41045,
9098,10924,9098,10924,9098.pdf,,TAV,180,0,0,TAV,,,Round,8,,39146,Signer Titanium AG,,,,,,,,,,,,1068.8,14.7,,942.6,,,,,,5,0.95,,31.4,2.5,0,36.2,,,,,,,,,5.7.0400.029 00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,,FALSE,0,,,
9178,11004,9178,11004,9178.pdf,,TAV,39714,0,H Rohl.DHS-T 145° TAV,TAV,,,Blank,,,39171,Angehrn AG,,,,,,,,,,,,990.9,15.1,,961.9,,,,,,,,,,,,,,,,,,,,,5.7.0400.029 00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,,FALSE,0,,,
7510,9323,7510,9323,7510.pdf,,TAV,180,0,0,TAV,,,Round,8,,38673,Firth AG,,,,,,,,,,,,1047.9,16.5,,966.6,,,,,,5,0.95,,5.1,3.2,0,7.7,,,,,,,,,5.7.0400.029 00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,,FALSE,0,,,
8853,10675,8853,10675,8853.pdf,,TAV,39713,0,0,TAV,,,Blank,,,39065,Angehrn AG,,,,,,,,,,,,1009.7,16.9,,993.9,,,,,,1,,,,,,,,,,,,,,,5.7.0400.029 00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,,FALSE,0,,,
19608,22333,19608,22333,19608.pdf,,TAV ELI ANR,60010367,0,Round 2.0mm TI6AL4V ELI ANR,TAV,,,Round,2,,42488,Hempel Special Metals AG,97,1058.5,12.4,,898,101,1165.7,13.8,,997,99,1123.7,12.8,,963.9,,,,,,5,,2,40.3,0.6,0.13,39.6,,,,,,,,i.O,SE_209779 Rev.AB  ANR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,,FALSE,-1,LOM,42551,i.O
7367,9179,7367,9179,7367.pdf,Y,TAV,50169315,0,Rund 0.65 mm Titanlegierung Ti6Al4V ELI,TAV,,,Round,0.65,,38638,Völlmin & Söhne Emil AG,115.51,1127,10,22.4,962.86,128.48,1138.6,12,27.9,998.5,121.72,1132,11.5,26.1,974.11,,,,,,6,,6.25,4.2,0.8,2.1,13.35,,,,,,,,I.O.,ASTM F 136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,,FALSE,0,,,
7335,9147,7335,9147,7335.pdf,Y,TAV,50169315,0,Rund 0.65 mm Titanlegierung Ti6Al4V ELI,TAV,,,Round,0.65,,38313,Völlmin & Söhne Emil AG,106.55,1047.8,12,21,894.81,117.11,1069.7,12,32.1,937.63,110.85,1057,12,26.5,913.96,,,,,,6,,4.13,8.6,0.9,4.4,17.78,,,,,,,,I.O.,ASTM F 136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,,FALSE,0,,,
